Período,1º Campo,2º Campo,Milha,KPI,Meta 4 Pontos,Meta 2 Pontos,Resultado Final,PESO,Pontuação Máxima,Pontuação Atingida,GAP Pontuação,GAP Peso Ponderado
W21,JM TRANSP.,,XPT,Telemetria MM XPT,> 72 %,> 70 %,67.09 %,6,24,0,-24.00 🔴,1
W25,JM TRANSP.,,XPT,Telemetria MM XPT,> 72 %,> 70 %,,6,24,0,-24.00 🔴,1
W24,JM TRANSP.,,XPT,Telemetria MM XPT,> 72 %,> 70 %,,6,24,0,-24.00 🔴,1
W22,JM TRANSP.,,XPT,Telemetria MM XPT,> 72 %,> 70 %,70.23 %,6,24,12,-12.00 🔴,0
W23,JM TRANSP.,,XPT,Telemetria MM XPT,> 72 %,> 70 %,70.9 %,6,24,12,-12.00 🔴,0
W25,JM TRANSP.,,XPT,BPP XPT,< 0 %,,0 %,0,0,0,0.00 🟢,0
W24,JM TRANSP.,,XPT,BPP XPT,< 0 %,,2.68 %,0,0,0,0.00 🟢,0
W23,JM TRANSP.,,XPT,BPP XPT,< 0 %,,2.08 %,0,0,0,0.00 🟢,0
W21,JM TRANSP.,,XPT,BPP XPT,< 0 %,,1.2 %,0,0,0,0.00 🟢,0
W22,JM TRANSP.,,XPT,BPP XPT,< 0 %,,0.66 %,0,0,0,0.00 🟢,0
W22,JM TRANSP.,,SRM,Notificações Extrajudicial,< 0,< 0,,-3,-12,0,0.00 🟢,
W25,JM TRANSP.,,SRM,Notificações Extrajudicial,< 0,< 0,,-3,-12,0,0.00 🟢,
W24,JM TRANSP.,,SRM,Notificações Extrajudicial,< 0,< 0,,-3,-12,0,0.00 🟢,
W23,JM TRANSP.,,SRM,Notificações Extrajudicial,< 0,< 0,,-3,-12,0,0.00 🟢,
W21,JM TRANSP.,,SRM,Notificações Extrajudicial,< 0,< 0,,-3,-12,0,0.00 🟢,
W23,JM TRANSP.,,SRM,Bloqueio de Drivers,< 1 %,,0.14 %,-3,-12,0,0.00 🟢,
W22,JM TRANSP.,,SRM,Bloqueio de Drivers,< 1 %,,0.07 %,-3,-12,0,0.00 🟢,
W24,JM TRANSP.,,SRM,Bloqueio de Drivers,< 1 %,,0.28 %,-3,-12,0,0.00 🟢,
W25,JM TRANSP.,,SRM,Bloqueio de Drivers,< 1 %,,0.08 %,-3,-12,0,0.00 🟢,
W21,JM TRANSP.,,SRM,Bloqueio de Drivers,< 1 %,,0.36 %,-3,-12,0,0.00 🟢,
W25,JM TRANSP.,,SRM,Auditorias Supplier Program,> 80 %,> 70 %,91.13 %,-4,-16,0,0.00 🟢,
W22,JM TRANSP.,,SRM,Auditorias Supplier Program,> 80 %,> 70 %,91.13 %,-4,-16,0,0.00 🟢,
W24,JM TRANSP.,,SRM,Auditorias Supplier Program,> 80 %,> 70 %,91.13 %,-4,-16,0,0.00 🟢,
W23,JM TRANSP.,,SRM,Auditorias Supplier Program,> 80 %,> 70 %,91.13 %,-4,-16,0,0.00 🟢,
W21,JM TRANSP.,,SRM,Auditorias Supplier Program,> 80 %,> 70 %,91.13 %,-4,-16,0,0.00 🟢,
W25,JM TRANSP.,,SRM,KPI BONUS,> 90 %,> 80 %,82.97 %,1,0,2,2.00 🟢,
W22,JM TRANSP.,,SRM,KPI BONUS,> 90 %,> 80 %,81.8 %,1,0,2,2.00 🟢,
W21,JM TRANSP.,,SRM,KPI BONUS,> 90 %,> 80 %,82.46 %,1,0,2,2.00 🟢,
W23,JM TRANSP.,,SRM,KPI BONUS,> 90 %,> 80 %,83.23 %,1,0,2,2.00 🟢,
W24,JM TRANSP.,,SRM,KPI BONUS,> 90 %,> 80 %,81.55 %,1,0,2,2.00 🟢,
