Período,1º Campo,2º Campo,Milha,KPI,Meta 4 Pontos,Meta 2 Pontos,Resultado Final,PESO,Pontuação Máxima,Pontuação Atingida,GAP Pontuação,GAP Peso Ponderado
W27,JM TRANSP.,,FM - FULL,Aderência ao Perfil FULL,> 95 %,> 93 %,96.52 %,3,12,12,0.00 🟢,0
W27,JM TRANSP.,,FM - FULL,1º Bipe FULL,> 85 %,> 83 %,93.19 %,3,12,12,0.00 🟢,0
W27,JM TRANSP.,,FM - FULL,% Utilização Frota Fixa FULL,> 95 %,> 93 %,85.83 %,3,12,0,-12.00 🔴,0
W27,JM TRANSP.,,FM - FULL,Ad. Config FULL,> 95 %,> 93 %,91.23 %,3,12,0,-12.00 🔴,0
W27,JM TRANSP.,,FM - XD,Pickup Success,> 92.6 %,> 90.6 %,92.92 %,7,28,28,0.00 🟢,0
W27,JM TRANSP.,,FM - XD,Pickup Sucess Ontime,> 82.5 %,> 80.5 %,81.79 %,4,16,8,-8.00 🔴,3
W27,JM TRANSP.,,FM - XD,Aderência ao Perfil,> 95 %,> 93 %,96.49 %,4,16,16,0.00 🟢,0
W27,JM TRANSP.,,FM - XD,1º Bipe - XD,> 85 %,> 83 %,93.09 %,4,16,16,0.00 🟢,0
W27,JM TRANSP.,,FM - XD,Aceite de Scheduling,> 95 %,> 93 %,99.9 %,3,12,12,0.00 🟢,0
W27,JM TRANSP.,,FM - XD,Ad. Config XD,> 97 %,> 95 %,,3,12,0,-12.00 🔴,5
W27,JM TRANSP.,,LM,Delivery Success,> 98.2 %,> 96.5 %,95.75 %,7,28,0,-28.00 🔴,1
W27,JM TRANSP.,,LM,PNR Anulado,> 0 %,,2.91 %,0,0,0,0.00 🟢,0
W27,JM TRANSP.,,LM,% Real x D7 FDS (SVC) SPOT,> 90 %,> 80 %,75 %,4,16,0,-16.00 🔴,0
W27,JM TRANSP.,,LM,Aceite Scheduling Pré Routing,< 5 %,< 7 %,3.96 %,4,16,16,0.00 🟢,0
W27,JM TRANSP.,,LM,SDD - % ER,> 95 %,> 93 %,87.5 %,5,20,0,-20.00 🔴,1
W27,JM TRANSP.,,LM,% Utilização Frota Fixa (LM),> 95 %,> 93 %,85.83 %,5,20,0,-20.00 🔴,1
W27,JM TRANSP.,,XPT,Delivery Success XPT,> 98.2 %,> 96.5 %,95.01 %,8,32,0,-32.00 🔴,1
W27,JM TRANSP.,,XPT,% Real x D7 FDS (XPT) SPOT,> 90 %,> 80 %,40 %,6,24,0,-24.00 🔴,1
W27,JM TRANSP.,,XPT,% Real x D7 Semana (XPT) SPOT,> 90 %,> 80 %,83.33 %,5,20,10,-10.00 🔴,0
W27,JM TRANSP.,,XPT,Telemetria MM XPT,> 72 %,> 70 %,,6,24,0,-24.00 🔴,1
W27,JM TRANSP.,,XPT,BPP XPT,< 0 %,,0 %,0,0,0,0.00 🟢,0
W27,JM TRANSP.,,SRM,Notificações Extrajudicial,< 0,< 0,,-3,-12,0,0.00 🟢,
W27,JM TRANSP.,,SRM,Bloqueio de Drivers,< 1 %,,0 %,-3,-12,0,0.00 🟢,
